Dilshad Garden to Jhilmil via Dilshad Garden → Jhilmil | Lines: RED_Rithala to Dilshad Garden
Dilshad Garden to Keshav Puram via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Kanhaiya Nagar → Keshav Puram | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Netaji Subash Place via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Kanhaiya Nagar → Keshav Puram → Netaji Subash Place | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Kohat Enclave via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Kanhaiya Nagar → Keshav Puram → Netaji Subash Place → Kohat Enclave | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Pitampura via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Kanhaiya Nagar → Keshav Puram → Netaji Subash Place → Kohat Enclave → Pitampura | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Rohini East via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Kanhaiya Nagar → Keshav Puram → Netaji Subash Place → Kohat Enclave → Pitampura → Rohini East | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Rohini West via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Kanhaiya Nagar → Keshav Puram → Netaji Subash Place → Kohat Enclave → Pitampura → Rohini East → Rohini West | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Rithala via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Kanhaiya Nagar → Keshav Puram → Netaji Subash Place → Kohat Enclave → Pitampura → Rohini East → Rohini West → Rithala | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden
Dilshad Garden to Mundka via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Punjabi Bagh → Shivaji Park → Madipur → Paschim Vihar (East) → Paschim Vihar (West) → Peera Garhi → Udyog Nagar → Maharaja Surajmal Stadium → Nangloi → Nangloi Railway Station → Rajdhani Park → Mundka | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
Dilshad Garden to Rajdhani Park via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Punjabi Bagh → Shivaji Park → Madipur → Paschim Vihar (East) → Paschim Vihar (West) → Peera Garhi → Udyog Nagar → Maharaja Surajmal Stadium → Nangloi → Nangloi Railway Station → Rajdhani Park | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
Dilshad Garden to Nangloi Railway Station via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Punjabi Bagh → Shivaji Park → Madipur → Paschim Vihar (East) → Paschim Vihar (West) → Peera Garhi → Udyog Nagar → Maharaja Surajmal Stadium → Nangloi → Nangloi Railway Station | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
Dilshad Garden to Nangloi via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Punjabi Bagh → Shivaji Park → Madipur → Paschim Vihar (East) → Paschim Vihar (West) → Peera Garhi → Udyog Nagar → Maharaja Surajmal Stadium → Nangloi | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
Dilshad Garden to Maharaja Surajmal Stadium via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Punjabi Bagh → Shivaji Park → Madipur → Paschim Vihar (East) → Paschim Vihar (West) → Peera Garhi → Udyog Nagar → Maharaja Surajmal Stadium | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
Dilshad Garden to Udyog Nagar via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Punjabi Bagh → Shivaji Park → Madipur → Paschim Vihar (East) → Paschim Vihar (West) → Peera Garhi → Udyog Nagar | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
Dilshad Garden to Peera Garhi via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Punjabi Bagh → Shivaji Park → Madipur → Paschim Vihar (East) → Paschim Vihar (West) → Peera Garhi | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
Dilshad Garden to Paschim Vihar (West) via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Punjabi Bagh → Shivaji Park → Madipur → Paschim Vihar (East) → Paschim Vihar (West) | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
Dilshad Garden to Paschim Vihar (East) via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Punjabi Bagh → Shivaji Park → Madipur → Paschim Vihar (East) | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
Dilshad Garden to Madipur via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Punjabi Bagh → Shivaji Park → Madipur | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
Dilshad Garden to Shivaji Park via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Punjabi Bagh → Shivaji Park | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
Dilshad Garden to Punjabi Bagh via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Punjabi Bagh | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
Dilshad Garden to Ashok Park Main via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh
Dilshad Garden to Satguru Ram Singh Marg via Dilshad Garden → Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Tis Hazari → Pul Bangash → Pratap Nagar → Shastri Nagar → Inderlok → Ashok Park Main → Satguru Ram Singh Marg | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → GREEN_Inderlok to Brigadier Hoshiyar Singh → GREEN_Kirti Nagar to Brigadier Hoshiyar Singh
